country,life_expect,country_short
Austria,81.8,AT
Belgium,81.5,BE
Bulgaria,74.9,BG
Switzerland,83.7,CH
Cyprus,82.7,CY
Czechia,79.1,CZ
Germany,81,DE
Denmark,80.9,DK
Estonia,78,ES
Greece,81.5,GR
Spain,83.5,ES
Finland,81.5,FI
France,82.7,FR
Croatia,78.2,HR
Hungary,76.2,HU
Ireland,81.8,IE
Iceland,82.2,IS
Italy,83.4,IT
Lithuania,74.9,LT
Luxembourg,82.7,LU
Latvia,74.9,LV
Malta,82.6,MT
Netherlands,81.7,NL
Norway,82.5,NO
Poland,78,PL
Portugal,81.3,PT
Romania,75.3,RO
Sweden,82.4,SE
Slovenia,81.2,SI
Slovakia,77.3,SK
Turkey,78.1,TR
United Kingdom,81.2,GB